Month,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jan,-0.69,4.71,2.86,1,1.06,3.41,2.06,-0.26,1.05,3.64,1.67,1.55,2.7,0.11,3.09,6.07,-0.23,3.12,2.45,4.42,6.28,0.38,4.23,0.43,4.48,2.37,4.16,3.7,-1.28,5.18,2.88,4.5,0.55,2.57,2.84,4.91,3,4.18,4.31,-4.49,-2.29,-4.23,3,5.16,-1.38,0.48,-1.12,4.93,4.08,1.53,3.74,2.44,1.3,-0.09,0.57,2.27,3.42,2.2,1.92,2.64,1.88,3.59,-5.1,0.49,2.83,0.11,3.26,1.82,4.11,0.56,2.31,0.42,2.98,5.34,6.46,3.74,2.53,2.99,-2.86,0.14,2.34,0.88,5.91,3.38,-3.01,2.21,-2.99,5.87,4.7,5.26,3.25,2.95,4.55,4.88,3.42,-0.36,-0.98,4.61,5.11,4.15,2.97,4.19,2.31,3.18,4.82,1.11,6.88,6.09,0.74,-0.81,3.3,4.58,1.97,5.24,3.87,4.25,1.42,5.4,3.18,5.95,2.96
Feb,-1.23,0.24,5.64,3.02,3.54,2.48,0.75,3.7,0.61,4.4,3.83,4.43,3.88,6.03,3.34,3.06,-1.23,4.16,1.15,5.75,3.74,1.53,3.24,0.43,5.3,6.3,3.36,4.87,-4.34,2.05,1.58,1.55,2.79,3.2,4.32,2.22,4.66,3.4,3.83,-0.82,1.44,-3.55,4.81,1.77,5.77,4.73,-3.84,2.97,4.52,5.28,3.76,2.27,1.93,-0.62,0.15,-3.97,5.27,3.73,1.35,3.04,6.11,2.74,-3.61,3.29,1.75,4.19,4.93,1.72,0.09,1.14,3.84,3.64,3.08,4.81,3.39,2.55,4.7,0.93,-0.89,4.48,1.58,2.84,0.66,2.01,-0.7,-3.91,1.83,4.34,5.23,7.46,-0.4,4.93,2.1,1.53,6.32,-0.04,5.84,6.22,3.01,5.7,4.3,6.85,1.59,4.6,2.03,2.29,5.94,5.39,3.03,1.44,4.14,0.43,1.38,6.35,3.29,4.56,4.96,0.54,6.41,6.86,4.1
Mar,3.67,5.46,7.4,4.1,6.25,4.25,5.04,3.93,3.25,5.65,5.53,7.72,7.36,6.28,4.15,4.73,1.99,5.41,4.42,7.95,7.39,4.73,6.74,3.67,3.69,6.1,7.33,4.88,4.26,5.33,3.06,3.59,6.98,5.12,5.17,6.57,3.84,8.14,4.73,5.02,4.99,3.29,6.9,3.75,7.71,4.52,3.56,7.49,4.42,6.81,3.96,5.06,5.29,5.84,2.01,5.06,8.22,2.24,7.19,5.7,7.41,2.11,4.3,2.5,4.43,5.24,6.88,6.07,2.39,3.14,3.08,6.58,5.76,6.02,4.78,3.17,7.1,6.38,4.57,4.82,8.03,5.45,5.73,4.02,4.02,4.11,1.93,4.94,8.31,8.4,8.48,6.76,5.79,7.21,5.27,2.93,7.63,7.32,7.29,6.77,5.24,7.27,7.55,6.01,6.12,3.62,8.01,5.9,6.2,6.04,6.39,8.33,2.15,8.56,6.41,5.42,8.78,4.46,8.06,6.91,6.65
Apr,8.72,8.24,5.3,9.26,6.44,7.82,7.42,6.11,8.45,7.85,7.49,8.31,8.64,10.35,7.46,8.72,4.74,8.44,6.45,9.48,8.82,6.22,7.6,6.66,8.47,9.98,7.81,8.29,5.34,8.96,7.06,7.16,8.38,10.03,7.86,6.15,8.6,6.69,8.97,8.28,6.52,8.76,10.18,9.27,9.78,10.05,9.13,10.1,10.57,7.74,7.06,10.37,8.62,6.51,7.86,5.53,8.21,5.96,9.69,8.44,10.33,7.72,8.47,8.48,7.37,8.02,7.09,9.15,7.43,5.68,7.87,7.52,6.07,8.88,7.07,7.3,6.23,6.74,7.27,7.53,8.03,7.39,8.39,7.65,8.11,5.96,10.1,8.3,6.77,8.37,8.15,8.42,10.7,8.28,8.6,9,7.52,8.85,9.55,9.87,7.75,9.03,9.56,10.16,9.9,8.39,11.82,8.42,11.79,9.31,12.32,8.06,7.96,11.55,8.89,8.24,8.22,11.88,10.34,11.05,6.54
May,12.29,8.95,12.76,12.36,12.02,12.81,12.66,13.11,11.3,12.59,13.89,12.08,12.84,11.43,12.63,13.14,14.8,14.2,13.22,13.48,13.71,13.62,10.79,13.52,13.97,10.75,11.21,10.82,12.79,11.73,13.63,12.14,12.18,12.36,10.93,12.68,13.97,11.09,11.73,12.88,9.75,11.96,13.3,11.66,13.74,12.79,15.03,13.32,11.74,13.1,11.65,13.09,13.02,12.65,10.07,12.26,10.32,12.28,12.95,12.89,10.96,9.81,11.11,13.97,11.7,12.99,12.53,10.8,12.5,12.53,13.64,11.67,12.04,11.46,10.88,13.05,11.64,11.92,11.6,11.57,13.29,12.52,10.83,10.49,13.04,13.16,9.84,14.13,14.21,13.89,9.88,15.11,14.13,12.28,12.68,10.47,12.43,14.49,13.98,14.51,13.97,13.31,13.38,12.1,12.53,13.76,13.89,15.33,13.67,10.35,14.12,13.98,11.26,13.08,12.21,14.16,14.7,16,11.47,12.95,11.02
Jun,15,15.07,14.2,14.43,16.74,14.24,13.89,16.15,13.22,16.35,14.88,15.25,14.57,14.31,16.23,12.49,18.11,13.36,14.71,15.48,14.55,15.05,11.43,14.91,14.89,13.99,13.4,13.81,13.81,17.59,15.32,14.85,15.3,15.52,16.28,16.02,15.45,15.35,15.92,16.34,16.17,14.34,14.61,13.89,16.04,14.13,17.31,15.27,14.42,17.02,14.7,14.9,15.42,14.84,14.14,12.73,16.08,14.35,15.82,15.85,15.37,13.72,15.32,15.54,14.82,16.6,14.39,15.3,14.82,17.06,13.79,13.56,15.84,14.44,14.59,17.4,14.1,14.58,14.87,14.44,14.24,16.13,15.84,13.36,13.36,15.85,13.35,14.45,15.51,14.8,12.57,16.91,15.56,15.05,14.21,15.14,15.52,15.64,15,15.98,14.6,16.48,17.98,15.29,16.42,16.37,16.96,16.15,15.24,16.16,16.03,14.66,14.89,15.94,15.38,16.23,17.67,17.18,18.19,17.09,17.98
Jul,18.54,15.52,16.09,18.33,18.11,16.93,14.31,16.89,14.88,15.58,18.94,18.64,14.72,17.91,16.06,15.58,17.15,16.52,14.15,16.82,18.46,15.47,18.82,16.79,18.42,17.51,17.22,17.58,17.2,16.45,16.69,17.62,18.21,17.92,17.7,16.53,16.98,16.28,16.87,16.06,18.8,16.06,17.36,17.04,18.16,17.85,19.06,16.81,17.87,17.73,16.56,17.41,16.74,14.34,17.51,16.43,17.57,16.66,18.77,15.39,15.49,14.77,16.63,17.13,14.88,15.58,18.22,16.24,18.11,15.8,17.68,17.26,17.12,15.28,17.74,19.18,16.47,15.22,15.65,15.38,16.28,18.5,19.71,15.78,17.09,16.93,16.68,16.06,17.84,16.79,18.73,18.21,16.06,21.04,19.89,16.18,17.36,16.04,19.1,15.16,18.45,17.41,18.95,16.68,17.75,20.97,16.87,17.91,18.04,19.97,15.91,17.04,19.13,19.46,18.42,18.25,18.06,20.71,18.89,17.11,17.98
Aug,16.91,14.85,15.47,16.58,16.44,17.13,15.81,15.32,16.44,16.52,20.05,14.54,15.56,17.8,15.93,16.55,16.83,16.54,16.37,14.9,17.38,15.39,16.1,14.84,16.76,16.81,17.08,16.54,16.97,16.92,15.84,19.1,17.96,16.76,17.42,17.08,17.72,18.02,17.82,15.36,15.44,18.03,17.28,19.38,16.79,16.36,20.25,16.82,17.56,17.86,16.61,17.28,16.69,15.83,17.93,14.24,15.85,17.17,18.04,16.03,16.07,15.43,15.68,16.46,15.53,15.87,16.84,17,17.53,17.01,17.4,15.82,17.76,16.78,19.68,17.66,16.08,15.46,15.57,16.87,16.72,17.33,18.2,17.79,15.99,15.82,16.02,16.71,17.23,18.69,18.06,17.88,15.37,17.72,19.52,17.57,20.53,16.79,17.66,17.67,18.8,18.85,19.86,18.84,16.21,16.3,17.1,17.45,18.9,16.84,17.14,18.73,18.29,16.24,18.9,18.07,17.62,19.12,19.01,20.58,16.93
Sep,14.15,12.72,14.25,12.46,13.09,13.98,14.04,13.6,13.22,13.54,15.2,10.76,13.97,13.79,13.45,13.33,15.07,13.38,14.83,13.56,14.51,12.42,13.49,14.18,11.92,15.44,14.18,13.26,16.43,14.1,11.69,15.01,15.07,16.19,14.34,14.27,13.89,15.2,14.89,13.21,14.13,14.8,14.05,13.33,14.88,14.8,17.24,14.6,17.69,13.61,15.05,11.32,13.96,13.56,14.6,14.61,12.71,15.68,15.37,13.58,16.68,13.02,13.83,14.57,13.17,13.98,14.36,14.46,14.78,14.34,13.66,11.91,14.72,13.07,15.27,13.71,13.08,13.27,13.76,15.09,14.78,15.81,14.08,13.24,14.13,11.56,14.63,13.72,15.36,12.8,15.29,14.21,12.84,13.39,13.83,12.35,14.41,14.53,17.39,15.39,12.92,14.55,14.78,15.18,15.89,17.82,13.79,13.56,15.24,13.54,15.76,14.14,14.24,15.95,13.36,17.58,13.8,15.16,14.71,15.51,16.03
Oct,10.27,8.36,10.97,9.54,6.28,11.76,11.78,10.06,11.4,10.64,10.08,8.24,11.1,9.92,7.91,10.18,8.31,9.61,7.37,8.69,13.16,6.67,11.1,10.62,10,8.61,10.44,10.04,10.53,10.48,9.12,9.45,10.36,11.34,9.8,8.68,11.14,9.9,7.96,8.92,9.86,12.01,11.06,9.69,11.74,9.47,10.14,10.18,12.19,9.58,8.61,8.26,11.49,11.49,9.42,9.71,10.63,10.83,11.11,10.51,11.59,10.67,9.53,8.01,10.08,11.34,11.78,11.74,12.43,10.53,10.62,8.89,8.88,7.04,8.64,10.87,11.54,10.96,10.5,9.18,8.76,10.97,10.53,11.38,10.37,11.26,10.68,10.62,12.14,11.8,9.96,7.69,8.82,9.23,12.91,10.6,9.54,9.58,10.5,11.22,13.98,9.53,7.49,11.19,13.2,13.68,9.98,10.13,10.26,10.23,11.28,10.34,12.17,13.24,9.9,9.84,12.86,12.2,11.57,11.25,11.48
Nov,4.85,4,6.08,5.3,4.49,7.97,5.93,4.42,4.51,3.97,6.31,5.42,8.65,5.47,3.26,6.28,7.37,5.03,2.23,3.65,1.68,4.94,3.95,5.37,3.56,7.16,4.31,7.95,6.56,7.54,7.01,5.89,4.46,6.01,7.22,5.69,5.1,9,7.66,7.11,4.56,5.91,5.18,6.25,5.53,6.65,7.14,6.14,5.84,6.03,8.37,3.25,7.25,6.73,6.55,5.03,6.11,5.47,5.43,7.57,5.15,4.41,8.51,6.34,2.92,4.47,5.42,5.31,6.63,7.72,5.69,6.13,5.48,6.57,5.31,6.65,6.74,6.54,5.72,4.76,6.6,7.9,6.31,7.98,2.62,7.93,6.67,5.87,5.48,6.16,5.56,7.43,2.25,9.48,6.44,5.74,6.31,3.71,6.36,7.87,6.79,7.83,8.03,6.37,6.74,9.22,6.68,6.9,9.4,5.86,7.44,6.92,6.61,8.3,9.73,5.83,7.11,6.97,6.52,8.79,7.14
Dec,3.18,0.96,1.45,4.9,3.25,1.01,3.95,2,3.85,5.72,5.72,6.18,4.71,5.73,5.64,3.49,0.74,6.41,3.78,2.74,3.58,5.25,1.14,4.53,2.03,3.21,-0.48,2.79,5.85,3.06,3.53,4.11,-1.15,7.3,3.05,4.04,2.22,1.36,1.78,1.41,4.77,4.85,2.47,3.16,4.11,0.68,4.25,4.39,5.23,0.28,5.02,1.92,5.7,5.67,5,5.38,3.16,5.03,4.53,3.39,2.01,-0.02,-0.48,2.84,4.64,4.49,3.48,0.35,-0.98,3.02,5.85,4.07,3.25,7.18,3.97,1.7,5.07,2.14,5.75,3.72,-0.02,3.88,3.95,4.43,5.91,4.99,4.44,6.68,4.95,4.08,3.85,3.96,5.1,5.78,-0.23,0.68,4.95,4.35,4.82,5.54,3.02,3.07,4.57,3.51,4.06,6.8,4.18,2.94,2.72,-0.98,6.33,4.86,6.19,5.06,9.41,5.15,5.01,6.33,6.22,5.8,5.45
